seconds	speed	acc_on	acc_active	acc_gap_setting	acc_set_speed	acc_dist	gps_lat	gps_long	gps_heading	vsl_last_update	vsl_speed	vsl_mode
58528.534	12.50	1	1	2	15.20	24.1	37.850830500000	-122.29950550000	168.9	3	40	1
58528.584	12.47	1	1	2	15.20	24.1	37.850830500000	-122.29950550000	168.9	3	40	1
58528.633	12.47	1	1	2	15.20	24.1	37.850830500000	-122.29950550000	168.9	3	40	1
58528.685	12.47	1	1	2	15.20	24.200001	37.850830500000	-122.29950550000	168.9	3	40	1
58528.734	12.47	1	1	2	15.20	24.200001	37.850808500000	-122.29950000000	168.8	3	40	1
58528.784	12.47	1	1	2	15.20	24.200001	37.850808500000	-122.29950000000	168.8	3	40	1
58528.833	12.47	1	1	2	15.20	24.200001	37.850808500000	-122.29950000000	168.8	3	40	1
58528.885	12.50	1	1	2	15.20	24.200001	37.850808500000	-122.29950000000	168.8	3	40	1
58528.934	12.50	1	1	2	15.20	24.200001	37.850786333333	-122.29949466667	169.2	3	40	1
58528.984	12.42	1	1	2	15.20	24.200001	37.850786333333	-122.29949466667	169.2	3	40	1
58529.033	12.42	1	1	2	15.20	24.200001	37.850786333333	-122.29949466667	169.2	3	40	1
58529.085	12.44	1	1	2	15.20	24.200001	37.850786333333	-122.29949466667	169.2	3	40	1
58529.134	12.44	1	1	2	15.20	24.200001	37.850764166667	-122.29948916667	168.9	3	40	1
58529.184	12.42	1	1	2	15.20	24.299999	37.850764166667	-122.29948916667	168.9	3	40	1
58529.233	12.42	1	1	2	15.20	24.299999	37.850764166667	-122.29948916667	168.9	3	40	1
58529.285	12.44	1	1	2	15.20	24.299999	37.850764166667	-122.29948916667	168.9	3	40	1
58529.334	12.44	1	1	2	15.20	24.299999	37.850742166667	-122.29948383333	169.2	3	40	1
58529.384	12.39	1	1	2	15.20	24.4	37.850742166667	-122.29948383333	169.2	3	40	1
58529.433	12.39	1	1	2	15.20	24.4	37.850742166667	-122.29948383333	169.2	3	40	1
58529.485	12.42	1	1	2	15.20	24.4	37.850742166667	-122.29948383333	169.2	3	40	1
58529.533	12.42	1	1	2	15.20	24.4	37.850720166667	-122.29947850000	169.2	3	40	1
58529.584	12.39	1	1	2	15.20	24.4	37.850720166667	-122.29947850000	169.2	3	40	1
58529.633	12.39	1	1	2	15.20	24.4	37.850720166667	-122.29947850000	169.2	3	40	1
